UniProtKB:Q13253	NOG	Noggin	NCBITaxon:9606
UniProtKB:O14625	CXCL11	C-X-C motif chemokine 11	NCBITaxon:9606
UniProtKB:O14625	CXCL11	C-X-C motif chemokine 11	NCBITaxon:9606
UniProtKB:P09919	CSF3	Granulocyte colony-stimulating factor	NCBITaxon:9606
UniProtKB:P09919	CSF3	Granulocyte colony-stimulating factor	NCBITaxon:9606
UniProtKB:P09919	CSF3	Granulocyte colony-stimulating factor	NCBITaxon:9606
UniProtKB:P08700	IL3	Interleukin-3	NCBITaxon:9606
UniProtKB:P28799	GRN	Progranulin	NCBITaxon:9606
UniProtKB:O00292	LEFTY2	Left-right determination factor 2	NCBITaxon:9606
UniProtKB:P61812	TGFB2	Transforming growth factor beta-2 proprotein	NCBITaxon:9606
UniProtKB:P48061	CXCL12	Stromal cell-derived factor 1	NCBITaxon:9606
UniProtKB:P48061	CXCL12	Stromal cell-derived factor 1	NCBITaxon:9606
UniProtKB:P48061	CXCL12	Stromal cell-derived factor 1	NCBITaxon:9606
UniProtKB:P48061	CXCL12	Stromal cell-derived factor 1	NCBITaxon:9606
UniProtKB:P48023	FASLG	Tumor necrosis factor ligand superfamily member 6	NCBITaxon:9606
UniProtKB:Q8IZJ0	IFNL2	Interferon lambda-2	NCBITaxon:9606
UniProtKB:Q8IZI9	IFNL3	Interferon lambda-3	NCBITaxon:9606
UniProtKB:P01374	LTA	Lymphotoxin-alpha	NCBITaxon:9606
UniProtKB:P01375	TNF	Tumor necrosis factor	NCBITaxon:9606
UniProtKB:P01375	TNF	Tumor necrosis factor	NCBITaxon:9606
UniProtKB:P06744	GPI	Glucose-6-phosphate isomerase	NCBITaxon:9606
UniProtKB:Q6KF10	GDF6	Growth/differentiation factor 6	NCBITaxon:9606
UniProtKB:Q9Y258	CCL26	C-C motif chemokine 26	NCBITaxon:9606
UniProtKB:Q9Y258	CCL26	C-C motif chemokine 26	NCBITaxon:9606
UniProtKB:Q16552	IL17A	Interleukin-17A	NCBITaxon:9606
UniProtKB:P78556	CCL20	C-C motif chemokine 20	NCBITaxon:9606
UniProtKB:P49771	FLT3LG	Fms-related tyrosine kinase 3 ligand	NCBITaxon:9606
UniProtKB:Q9NPF7	IL23A	Interleukin-23 subunit alpha	NCBITaxon:9606
UniProtKB:O95760	IL33	Interleukin-33	NCBITaxon:9606
UniProtKB:O95760	IL33	Interleukin-33	NCBITaxon:9606
UniProtKB:P10451	SPP1	Osteopontin	NCBITaxon:9606
UniProtKB:Q96BQ1	FAM3D	Protein FAM3D	NCBITaxon:9606
UniProtKB:O95972	BMP15	Bone morphogenetic protein 15	NCBITaxon:9606
UniProtKB:Q8NHW4	CCL4L1	C-C motif chemokine 4-like	NCBITaxon:9606
UniProtKB:Q9UHF5	IL17B	Interleukin-17B	NCBITaxon:9606
UniProtKB:P22004	BMP6	Bone morphogenetic protein 6	NCBITaxon:9606
UniProtKB:P22003	BMP5	Bone morphogenetic protein 5	NCBITaxon:9606
UniProtKB:P10600	TGFB3	Transforming growth factor beta-3 proprotein	NCBITaxon:9606
UniProtKB:Q9UHD0	IL19	Interleukin-19	NCBITaxon:9606
UniProtKB:O43557	TNFSF14	Tumor necrosis factor ligand superfamily member 14	NCBITaxon:9606
UniProtKB:Q9UHA7	IL36A	Interleukin-36 alpha	NCBITaxon:9606
UniProtKB:O43508	TNFSF12	Tumor necrosis factor ligand superfamily member 12	NCBITaxon:9606
UniProtKB:O95715	CXCL14	C-X-C motif chemokine 14	NCBITaxon:9606
UniProtKB:O43927	CXCL13	C-X-C motif chemokine 13	NCBITaxon:9606
UniProtKB:O43927	CXCL13	C-X-C motif chemokine 13	NCBITaxon:9606
UniProtKB:Q16627	CCL14	C-C motif chemokine 14	NCBITaxon:9606
UniProtKB:P42830	CXCL5	C-X-C motif chemokine 5	NCBITaxon:9606
UniProtKB:P22362	CCL1	C-C motif chemokine 1	NCBITaxon:9606
UniProtKB:P22362	CCL1	C-C motif chemokine 1	NCBITaxon:9606
UniProtKB:Q9UBD9	CLCF1	Cardiotrophin-like cytokine factor 1	NCBITaxon:9606
UniProtKB:Q9UBD9	CLCF1	Cardiotrophin-like cytokine factor 1	NCBITaxon:9606
UniProtKB:P20809	IL11	Interleukin-11	NCBITaxon:9606
UniProtKB:Q96DZ9	CMTM5	CKLF-like MARVEL transmembrane domain-containing protein 5	NCBITaxon:9606
UniProtKB:O95813	CER1	Cerberus	NCBITaxon:9606
UniProtKB:Q9Y4X3	CCL27	C-C motif chemokine 27	NCBITaxon:9606
UniProtKB:Q8NEV9	IL27	Interleukin-27 subunit alpha	NCBITaxon:9606
UniProtKB:O75610	LEFTY1	Left-right determination factor 1	NCBITaxon:9606
UniProtKB:Q96FZ5	CMTM7	CKLF-like MARVEL transmembrane domain-containing protein 7	NCBITaxon:9606
UniProtKB:P10720	PF4V1	Platelet factor 4 variant	NCBITaxon:9606
UniProtKB:Q9H2A7	CXCL16	C-X-C motif chemokine 16	NCBITaxon:9606
UniProtKB:Q9H2A7	CXCL16	C-X-C motif chemokine 16	NCBITaxon:9606
UniProtKB:Q9H2A7	CXCL16	C-X-C motif chemokine 16	NCBITaxon:9606
UniProtKB:P22301	IL10	Interleukin-10	NCBITaxon:9606
UniProtKB:P22301	IL10	Interleukin-10	NCBITaxon:9606
UniProtKB:P05231	IL6	Interleukin-6	NCBITaxon:9606
UniProtKB:P05231	IL6	Interleukin-6	NCBITaxon:9606
UniProtKB:P05231	IL6	Interleukin-6	NCBITaxon:9606
UniProtKB:P05231	IL6	Interleukin-6	NCBITaxon:9606
UniProtKB:O95150	TNFSF15	Tumor necrosis factor ligand superfamily member 15	NCBITaxon:9606
UniProtKB:O95390	GDF11	Growth/differentiation factor 11	NCBITaxon:9606
UniProtKB:Q9UBH0	IL36RN	Interleukin-36 receptor antagonist protein	NCBITaxon:9606
UniProtKB:Q9UBD3	XCL2	Cytokine SCM-1 beta	NCBITaxon:9606
UniProtKB:P05305	EDN1	Endothelin-1	NCBITaxon:9606
UniProtKB:P15514	AREG	Amphiregulin	NCBITaxon:9606
UniProtKB:P10147	CCL3	C-C motif chemokine 3	NCBITaxon:9606
UniProtKB:P10147	CCL3	C-C motif chemokine 3	NCBITaxon:9606
UniProtKB:P10147	CCL3	C-C motif chemokine 3	NCBITaxon:9606
UniProtKB:P10145	CXCL8	Interleukin-8	NCBITaxon:9606
UniProtKB:P10145	CXCL8	Interleukin-8	NCBITaxon:9606
UniProtKB:P10145	CXCL8	Interleukin-8	NCBITaxon:9606
UniProtKB:Q9UK05	GDF2	Growth/differentiation factor 2	NCBITaxon:9606
UniProtKB:P15692	VEGFA	Vascular endothelial growth factor A	NCBITaxon:9606
UniProtKB:P15692	VEGFA	Vascular endothelial growth factor A	NCBITaxon:9606
ComplexPortal:CPX-3290	interleukin-23_human	Interleukin-23 complex	NCBITaxon:9606
ComplexPortal:CPX-381	interleukin12_human	Interleukin-12 complex	NCBITaxon:9606
UniProtKB:Q9Y275	TNFSF13B	Tumor necrosis factor ligand superfamily member 13B	NCBITaxon:9606
UniProtKB:Q16619	CTF1	Cardiotrophin-1	NCBITaxon:9606
UniProtKB:Q9H293	IL25	Interleukin-25	NCBITaxon:9606
UniProtKB:Q16663	CCL15	C-C motif chemokine 15	NCBITaxon:9606
UniProtKB:Q9H772	GREM2	Gremlin-2	NCBITaxon:9606
UniProtKB:Q9H772	GREM2	Gremlin-2	NCBITaxon:9606
